crop protection,Сomments,Keywords,Abstracts
herbicide,,,"CN 217313396 U
   NOVELTY - The utility model relates to the technical field of herbicide production machine, especially to a novel production device of glyphosate isopropyl amine salt, comprising an outer shell, the bottom of the outer shell is fixedly installed with a supporting plate, the bottom of the front surface of the shell is fixedly installed with a meter, the utility model is set with the intelligent sensing temperature control component, capable of using the metal sheet with heat generating deformation in the production machine to automatically control the electrifying state of the heating plate, the metal sheet of the internal heating induction can more acuity adjusting the temperature of the inner part, so that the inner temperature is maintained at a relatively constant temperature state when the machine is produced, ensuring the quality of the finished product, in addition, through the limiting plate in the intelligent sensing temperature control assembly, the limiting plate is located at the left side of the curved metal sheet, when the curved metal sheet is heated to change, the limiting plate is propped against the left side of the curved metal sheet, so that the curved metal sheet only can generate deformation displacement to the right side, increasing the accuracy of the inner temperature sensing adjustment, The design is more humanized."
insecticide,,,"WO 2022179501 A1
   NOVELTY - Substituted benzimidazole compounds (I), are new. 
   DETAILED DESCRIPTION - Substituted benzimidazole compounds of formula (I), and their salts, are new.
       R  = 1-10C alkyl, 3-10C cycloalkyl, 2-10C alkenyl, 2-10C alkynyl (all are optionally substituted by G1);
       G1  = halo, 1-10C alkyl, halogenated 1-10C alkyl, 3-10C cycloalkyl, halogenated 3-10C cycloalkyl, 1-10C alkoxy, halogenated 1-10C alkoxy, 3-10C cycloalkoxy, or halogenated 3-10C cycloalkoxy; 
       Y1, Y2, Y3, Y4 and Y5  = H, halo, CN, NO2 , formyl, 1-10C alkyl, 3- 10C cycloalkyl, 1-10C alkoxy, 1-10C alkylthio, 1-10C alkylsulfinyl, 1-10C alkylsulfonyl, 1-10C alkylcarbonyl, 1-10C alkoxycarbonyl, arylcarbonyl, aryloxycarbonyl, 2-6C alkenyl, 2-6C alkenyl, 2-6C alkenyloxy, 2-6C alkynyloxy, 1-10C alkycarbonyloxy, 1-10C cyanoalkyl, 1-10C cyanoalkoxy, silyl, amino, aryl, aryl 1-6C alkyl, aryloxy, aryl 1-6C alkoxy, arylsulfonyl, arylsulfinyl, arylthio, aryl 1-6C alkylsulfonyl, aryl 1-6C alkylsulfinyl, aryl 1-6C alkylthio, heterocycle, heterocycle 1-6C alkyl, or heterocycleoxy (all are optionally substituted by G1), where adjacent two Y1-Y5 groups and at least one group with the benzene ring are bonded with each other to form at least one 3- to 8-membered ring 0ooptionally via at least one heteroatom; and
       Z1, Z2, Z3 and Z4  = H, halo, CN, NO2 , formyl, 1-10C alkyl, 3-10C cycloalkyl, 1-10C alkoxy, 1-10C alkylthio, 1-10C alkylsulfinyl, 1-10C alkylsulfonyl, 1-10C alkylcarbonyl, 1-10C alkoxycarbonyl, arylcarbonyl, aryloxycarbonyl, 2-6C alkenyl, 2-6C alkynyl, 2-6C alkenyloxy, 2-6C alkynyloxy, 1-10C alkane carbonyloxy, 1-10C cyanoalkyl, 1-10C cyanoalkoxy, silyl, amino, aryl, aryl 1-6C alkyl, aryloxy, aryl 1-6C alkoxy, arylsulfonyl, arylsulfinyl, arylthio, aryl 1-6C alkylsulfonyl, aryl 1-6C alkylsulfinyl, aryl 1-6C alkylthio, heterocycle, heterocycle 1-6C alkyl, or heterocyclyloxy (all are optionally substituted by G1), where two adjacent groups of Z1-Z4 are or at least one group Z1-Z4 are/is connected to the bonded benzene ring via or not cyclized via at least one heteroatom to form at least one 3- to 8-membered ring, when Z1, Z2, Z3, Z4, Y1, Y2, Y3, Y4 are all H and R is base, Y5 is not H, F or Cl, when Z1, Z2, Z3, Z4, Y1, Y2, Y3, Y4 are H and R is ethyl, Y3 is not F or Cl, when Z1, Z2, Z3, Z4, Y1, Y3, Y5 are H and R is ethyl, Y2, Y4 is not Cl at the same time. 
    INDEPENDENT CLAIMS are also included for: 
      preparation of (I);
      benzimidazole compound (I) produced by the above method; and 
      use of benzimidazole compound (I) in the preparation of insecticide and acaricide.
   ACTIVITY - Herbicide; Acaricide; Plant Protectant. The herbicidal activity of (I) was tested on Tetranychus cinnabarinus . The results showed that 1-(ethylsulfonyl)-2-(4-fluoro-3-(trifluoromethyl)phenyl)-1H- benzo[d]imidazole (100 mg/ml) exhibited 100% lethality on Tetranychus cinnabarinus .
   MECHANISM OF ACTION - None given.
   USE - (I) is useful in preparing of insecticide and acaricide for agriculture, forestry and horticulture (all claimed). 
   ADVANTAGE - (I) have high insecticidal and acaricidal effects when used at low concentrations, and excellent control effect."
herbicide,,,"IN 202211045846 A
   NOVELTY - The framework (1) has a container formed with two foams (3, 4) e.g. polyethylene foam such as thermoplastic resin, and polyurethane foam such as thermosetting resin, and liquid nutrient media as growing medium. The container is formed with frames and the liquid nutrient media. The different types of foams are utilized to construct a the framework for growing the microgreens, where the first foam is divided into small squares of equal size to place a second foam and utilized to construct an external supporting framework to provide support to seeds from sinking into liquid nutrient media. The second foam is fitted at a center to provide support to the seeds for germination.
   USE - Hydroponic prototype framework for cultivating microgreens in a nutrient solution e.g. aquaponic nutrient solution and aeroponic nutrient solution. Uses include but are not limited to basil, broccoli, kale, cabbage, parsley, mustard and chickpea microgreens formed from seeds of leafy vegetables, herbs, legumes, and cereal crops. 
   ADVANTAGE - The framework grows microgreens with minimal or no use of pesticides or agrochemicals and reduces soil-borne infection and weed contamination. The framework performs under control growth environment and helps in easy cutting or separation of an edible portion. The framework helps in improving quality and yield and reduces chances of unwanted contamination of soil particles or unwanted material from a solid substrate. The framework grows the microgreens in soil free manner by utilizing nutrient solutions that act as a rich source of nutrients for enhancing rate of growth of the microgreens in a short span of time. 
   DESCRIPTION OF DRAWINGS - The drawing shows a perspective view of a hydroponic prototype framework.
     1- Hydroponic prototype framework
     2- Foams"
insecticide,,,"CN 217284509 U
   NOVELTY - The utility model relates to biological control field, specifically claims a predatory mite release box, comprising a box body, and an upper cover set above the box body, the box body is arranged with a plurality of access holes, the edge of the upper cover exceeds the edge of the box body; the lower part of the box body is further provided with a drain hole, further provided with a fixing device fixed on the box body, further comprising a guide rail set on the side surface of the box body and a plug board matched with the guide rail; The utility model as the carrier for releasing predatory mite, as the releasing device of predatory mite, it is firm, ventilation, convenient for predatory characteristics to pass in and out."
insecticide,,,"CN 217288675 U
   NOVELTY - The utility model claims a temperature control water-cooling horizontal sand mill, belonging to the technical field of horizontal sand mill; comprising a base, above the base is provided with a grinding cylinder, one side of the grinding cylinder is provided with a cooling box, one side of the cooling box is provided with a cooling component, two sides of the grinding cylinder close to the cooling box is provided with a cleaning component, the cleaning component comprises a cleaning water inlet pipe, a cleaning water inlet pump, a cleaning reflux pipe, a washing reflux water pump, a drain pipe and a separating component, wherein the upper part of the cooling box is provided with a cleaning water inlet pump, the cleaning water inlet pump and the grinding cylinder are provided with a cleaning water inlet pipe, the lower part of the grinding cylinder is provided with a drain pipe, one side of the cooling box is provided with a cleaning reflux water pump; The utility model is provided with a cleaning assembly, recycling cleaning the liquid of the grinding cylinder, saving water resource, by setting the cooling component, so that the liquid of the cooling box is kept at a low temperature, the cooling effect of the device."
fungicide,,,"KR 2022117942 A
   NOVELTY - Pomegranate-zinc oxide nanocomposite particles prepared by combining polyphenols or flavonoids in pomegranate extract, with zinc oxide.
   DETAILED DESCRIPTION - An INDEPENDENT CLAIM is included for preparation of the pomegranate-zinc oxide nanocomposite particles, which involves (i) extracting portions chosen from fruits, seeds, pericarps, leaves, barks and root skins of pomegranate using water and/or 1-4C alcohol solution to obtain a pomegranate extract, (ii) mixing the pomegranate extract with zinc oxide, and (iii) reacting in the presence of a sodium borohydride catalyst. 
   ACTIVITY - Dermatological; Pesticide. No biological data given. 
   MECHANISM OF ACTION - None given.
   USE - Pomegranate-zinc oxide nanocomposite particles are used in cosmetic composition in the form of lotion, cream, sunscreen, fragrance, pack, shampoo, cleansing, hand sanitizer, aerosol or patch, preferably cosmetic preservative, cosmetic sunscreen or scalp health promotion shampoo, or health food composition in the form of powder, tablet, liquid or jelly, preferably health functional food supplement, for providing antioxidant effect, antibacterial effect and ultraviolet protection effect, in food preservative (bio-available food preservative), and agent (all claimed), preferably agricultural pesticide for controlling microorganisms that cause plant diseases in crops or flowers. 
   ADVANTAGE - The pomegranate-zinc oxide nanocomposite particles are less toxic to human skin cells than pomegranate extract and zinc oxide, and have desired antibacterial effect that significantly increases the antioxidant function and inhibits the growth of microorganisms with ultraviolet blocking effect."
fungicide,,,"KR 2022117960 A
   NOVELTY - Composition comprises strobilurin-based compound and flavonoid-based compound.
   ACTIVITY - Fungicide. Test details are described but no results given. 
   MECHANISM OF ACTION - None given.
   USE - The composition is useful as medicine, cosmetic, food and feed additive for preventing and treating fungal infection caused by Aspergillus flavus , Aspergillus parasiticus , Alternaria alternate and Colletotrichum acutatum and controlling plant disease through inhibiting production of aflatoxin caused by Aspergillus flavus and Aspergillus parasiticus (all claimed).
   ADVANTAGE - The composition increases antifungal and aflatoxin production inhibitory activity, and increases yield of crops by suppressing infection of fungi and aflatoxin-producing strains, and is safe for crops, food, and feed."
fungicide,,,"WO 2022175600 A1
   NOVELTY - Virucidal composition comprises a mixture of biologically active compounds obtained from strains of Ganoderma lucidum by culturing the fungi in essentially liquid culture medium in a culture tank or a bioreactor in conditions essentially excluding agitation. 
   DETAILED DESCRIPTION - An INDEPENDENT CLAIM is included for a process for producing the virucidal composition comprising a mixture of biologically active compounds obtained from strains of G.lucidum , which involves (a) culturing G.lucidum species in essentially liquid culture medium in a culture tank or a bioreactor, and (b) harvesting the medium as obtained at step (a) and separating the mixture of biologically active compounds as a product excreted by mycelium of G.lucidum in liquid phase, where the culturing of the G.lucidum species in essentially liquid culture medium in the culture tank or the bioreactor is implemented in conditions essentially excluding agitation.
   USE - The virucidal composition is used for preparation for external use in human or non-human animal subject for preventing spread of viral infections caused by picornaviridae and/or coronaviridae, disinfecting, sanitizing and/or cleaning, manufacturing personal care product or skincare product, disinfectant for skin or for non-living surface, and preventing spread of infections caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV2) (all claimed).
   ADVANTAGE - The virucidal composition provides reliable and non-toxic antiviral compound."
fungicide,,,"WO 2022176743 A1
   NOVELTY - Agent comprises a lanthanide derivative (I). 
   DETAILED DESCRIPTION - Agent comprises a lanthanide derivative of formula: Ln2 x Fe2 ( 1- x ) O3 (I).
       Ln  = rare earth element chosen from lanthanum, praseodymium, neodymium and yttrium;and
       x  = 0.45-1.
    INDEPENDENT CLAIMS are included for the following: 
      antifungal product comprising a substrate and an antifungal layer comprising the above-mentioned agent; and
      antifungal paint comprising the above-mentioned agent. 
   USE - The agent is useful in antifungal product and paint, where the antifungal product is chosen from outer walls, inner walls, building materials, air filters, packing, and tanks or pipes for water storage or water flow (all claimed).
   ADVANTAGE - The agent can impart the antifungal effect to materials to which antifungal agents cannot be applied and places with complicated shapes and also exerts antifungal effect on its surroundings as well i.e. by spreading even to parts that are not in direct contact with the agent and without the presence in the entire product. The agent has excellent safety and dispersibility in water and organic solvents and is low in environmental pollution."
herbicide,,,"DE 102021201815 A1
   NOVELTY - Herbicidal composition comprises oryzalin and sulfentrazone in a weight ratio of 8:1-1:1.
   ACTIVITY - Herbicide. No biological data given. 
   MECHANISM OF ACTION - None given.
   USE - The composition is useful controlling weeds of cornfields, preferably barnyard grass or crabgrass control. 
   ADVANTAGE - The composition has a broad weed control spectrum, remarkable synergistic effect, which can effectively retard onset of resistance of weeds, wide high efficiency and effective cost reduction; and is safe for crops."
insecticide,,,"WO 2022175420 A1
   NOVELTY - Controlling or preventing damage to a plant comprises applying a combination comprising component (A1) 2-(3-(ethylsulfonyl)pyridin-2-yl)- 5-(2,2,3,3,3-pentafluoropropoxy)pyrazine (I); and as component (B1a) a compound (B1a) e.g. nicofluprole, (B2) spidoxamat, (B3) N-[[2-fluoro-4-[2- hydroxy-3-(3,4,5-trichlorophenyl)-3-(trifluoromethyl)pyrrolidin- 1yl]phenyl]methyl]cyclopropanecarboxamide, (B3a) (S)-N-[[2-fluoro-4-[2- hydroxy-3-(3,4,5-trichlorophenyl)-3-(trifluoromethyl)pyrrolidin-1- yl]phenyl]methyl]cyclopropanecarboxamide, (B4) 4-dimethyl-2-[2-(3-pyridyl )indazol-5-yl]-1,2,4-triazolidine-3,5-dione, (B5) N-[3-chloro-1-(3-pyridyl )pyrazol-4-yl]-2-methylsulfonyl-propanamide, (B6) (3R)-3-(2-chlorothiazol- 5-yl)-8-methyl-5-oxo-6-phenyl-2,3-dihydrothiazolo-pyrimidin-8-ium-7-olate and (B7) 1-(2-cyanoethyl)-4-oxo-3-[3-(trifluoromethyl)phenyl]pyrido[1,2-a ]pyrimidin-1-ium-2-olate and their salts.
   DETAILED DESCRIPTION - Controlling or preventing damage to a plant comprises applying a combination comprising as component (A1) a 2-(3- (ethylsulfonyl)pyridin-2-yl)-5-(2,2,3,3,3-pentafluoropropoxy)pyrazine of formula (I) or their salts; and as component (B1a) a compound comprising e.g. (B1a) nicofluprole, (B2) spidoxamat, (B3) N-[[2-fluoro-4-[2-hydroxy-3- (3,4,5-trichlorophenyl)-3-(trifluoromethyl)pyrrolidin- 1yl]phenyl]methyl]cyclopropanecarboxamide, (B3a) (S)-N-[[2-fluoro-4-[2- hydroxy-3-(3,4,5-trichlorophenyl)-3-(trifluoromethyl)pyrrolidin-1- yl]phenyl]methyl]cyclopropanecarboxamide, (B4) 4-dimethyl-2-[2-(3-pyridyl )indazol-5-yl]-1,2,4-triazolidine-3,5-dione, (B5) N-[3-chloro-1-(3-pyridyl )pyrazol-4-yl]-2-methylsulfonyl-propanamide, (B6) (3R)-3-(2-chlorothiazol- 5-yl)-8-methyl-5-oxo-6-phenyl-2,3-dihydrothiazolo[3,2-a]pyrimidin-8-ium-7- olate, (B7) 1-(2-cyanoethyl)-4-oxo-3-[3-(trifluoromethyl)phenyl]pyrido[1,2- a]pyrimidin-1-ium-2-olate, (B8) N-isopropyl-2-(3-pyridyl)indazole-4- carboxamide, (B9) N-cyclopropyl-2-(3-pyridyl)indazole-4-carboxamide, (B10) N-cyclohexyl-2-(3-pyridyl)indazole-4-carboxamide, (B11) 2-(3-pyridyl)-N- (2,2,2-trifluoroethyl)indazole-4-carboxamide, (B12) methyl N-[[2-(3-pyridyl )indazole-5-carbonyl]amino]carbamate, (B13) 2-(3-pyridyl)-N- (tetrahydrofuran-2-ylmethyl)indazole-5-carboxamide, (B14) N-[(2,2- difluorocyclopropyl)methyl]-2-(3-pyridyl)indazole-5-carboxamide, (B15) N-(2 ,2-difluoropropyl)-2-(3-pyridyl)indazole-5-carboxamide, (B16) 2-(3- pyridyl)-N-(pyrimidin-2-ylmethyl)indazole-5-carboxamide, (B17) N-[(5- methylpyrazin-2-yl)methyl]-2-(3-pyridyl)indazole-5-carboxamide, (B18) indazapyroxamet, (B19) N-[1-(difluoromethyl)cyclopropyl]-2-(3-pyridyl )indazole-4-carboxamide, (B20) N-(1,1-dimethyl-2-methylsulfanyl-ethyl)-7- fluoro-2-(3-pyridyl)indazole-4-carboxamide, (B21) N-(1,1-dimethyl-2- methylsulfinyl-ethyl)-7-fluoro-2-(3-pyridyl)indazole-4-carboxamide, (B22) 1 ,1-dimethyl-2-methylsulfonyl-ethyl)-7-fluoro-2-(3-pyridyl)indazole-4- carboxamide, (B23) cyproflanilide and (B24) flupentiofenox or their salts on the plant, the locus or propagation material. INDEPENDENT CLAIMS are also included for:
      controlling or preventing damage to a plant, comprising applying a combination comprising component (A1) (I) and as component (B1a), a compound having e.g. (B36) thiacloprid, (B37) imidacloprid, (B38) flupyradifurone (CAS 951659-40-8), (B39) triflumezopyrim, (B40) sulfoxaflor, (B41) acetamiprid, (B42) nitenpyram, (B43) clothianidin, (B44) thiamethoxam, (B61) esfenvalerate, (B62) cypermethrin, and (B63) λ -cyhalothrin, or their salts desired sequence or simultaneously, on the plant, the locus propagation material, where the combination of (A1) and (B1a) is in a ratio by weight of 500:1-1:500, preferably 3.1-1:3; 
      composition (C1) comprising as component (A1) (I), and as component (B1a) a compound (B1), (B2), (B3);
      formulation comprising the composition comprising 0.01-90 wt.% active agent, 0-25 wt.% surfactant and 10-99.9 wt.% solid or liquid formulation inert and adjuvant;
      concentrated composition (C2) for dilution by a user, comprising the composition or the formulation, comprising 2-80 wt.%, preferably 5-70 wt.% active ingredient;
      controlling or preventing damage to a plant, which comprises applying component (A1), (B1a) and/or a compound having e.g. (B64) iprodione, (B65) fluindapyr, (B66) flutriafol, (B67) amisulbrom, (B68) fluopicolide, (B69) thiram, quinofumelin (B97) cyflufenamid and (B98) ipflufenoquin or their salts to a seed; and
      seed treatment composition (C3) comprising components (A1) and component (B1).
   ACTIVITY - Insecticide; Nematocide; Acaricide. 
   MECHANISM OF ACTION - None given.
   USE - The methods are useful for controlling or preventing damage to plant and acts as insecticide, nematicide or acaricide or for controlling insect and nematode (all claimed).
   ADVANTAGE - The methods provide improved synergistic effects or synergistic action, e.g. beneficially degradability, improved toxicological and/or ecotoxicological behavior, or characteristics of the useful plants including emergence, crop yields, more developed root system, tillering increase, increase in plant height, bigger leaf blade, less dead basal leaves, stronger tillers, greener leaf color, less fertilizers needed, less seeds needed, more productive tillers, earlier flowering, early grain maturity, less plant verse (lodging), increased shoot growth, plant vigor and early germination. The synergistic effect of the combination was tested in Spodoptera littoralis of cotton leaf discs using Spodoptera littoralis contact assay by measuring percentage of mortality. The result showed that the combination comprised of (10 mg/l (I) and 0.062 mg/l (S)-N-[[2-fluoro-4 -[2-hydroxy-3-(3,4,5-trichlorophenyl)-3-(trifluoromethyl)pyrrolidin-1- yl]phenyl]methyl]cyclopropanecarboxamide exhibited 100% of mortality."
insecticide,,,"WO 2022175958 A1
   NOVELTY - An isolated bacterial strain or its functional homolog, is new.
   DETAILED DESCRIPTION - An isolated bacterial strain or its functional homolog, is new. The isolated bacterial strain is chosen from (i) strain LAV61269, chosen from (a) a strain (NCIMB 43908), (b) a strain comprising a 16S-rRNA sequence comprising a nucleic acid sequence of SEQ ID NO: 8, and (c) a strain comprising at least one genomic marker comprising a nucleic acid sequence of SEQ ID NOs: 73-75, (ii) strain LAV41249, chosen from (a) a strain (NCIMB 43914), (b) a strain comprising a 16S-rRNA sequence comprising nucleic acid sequence of SEQ ID NO: 1, (c) a strain comprising at least one genomic marker comprising nucleic acid sequence of SEQ ID NOs: 52-55, (iii) strain LAV61293, chosen from (a) a strain (NCIMB 43913), (b) a strain comprising a 16S-rRNA sequence comprising nucleic acid sequence of SEQ ID NO: 11 and SEQ ID NO: 12, and (c) a strain comprising at least one genomic marker comprising nucleic acid sequence of SEQ ID NOs: 79-81, (iv) strain LAV61301, chosen from (a) a strain (NCIMB 43910), (b) a strain comprising a 16S-rRNA sequence comprising nucleic acid sequence of SEQ ID NO: 17, and (c) a strain comprising at least one genomic marker comprising nucleic acid sequence of SEQ ID NOs: 91-92, (v) strain LAV104746, chosen from (a) a strain (NCIMB 43911), (b) a strain comprising a 16S-rRNA sequence comprising nucleic acid sequence of SEQ ID NO: 26, and (c) a strain comprising at least one genomic marker comprising nucleic acid sequence of SEQ ID NOs: 112-113, (vi) strain LAV104743, chosen from (a) a strain (NCIMB 43903), (b) a strain comprising a 16S-rRNA sequence comprising nucleic acid sequence of SEQ ID NO: 21 and SEQ ID NO: 22, and (c) a strain comprising at least one genomic marker comprising nucleic acid sequence of SEQ ID NOs: 104-107, (vii) strain LAV61243, chosen from (a) a strain (NCIMB 43905), (b) a strain comprising a 16S-rRNA sequence comprising nucleic acid sequence of SEQ ID NO: 4, and (c) a strain comprising genomic marker comprising nucleic acid sequence of SEQ ID NOs: 62-64, (viii) strain LAV106494, chosen from (a) a strain (NCIMB 43915), (b) a strain comprising a 16S-rRNA sequence comprising nucleic acid sequence of SEQ ID NO:46, and (c) a strain comprising genomic marker comprising nucleic acid sequence of SEQ ID NOs: 144-145, (ix) strain LAV1000771, chosen from (a) a strain (NCIMB 43912), (b) a strain comprising a 16S-rRNA sequence comprising nucleic acid sequence of SEQ ID NO: 49, and (c) a strain comprising at least one genomic marker comprising nucleic acid sequence of SEQ ID NOs: 164-165, (x) strain LAV1000775, chosen from (a) a strain (NCIMB 43904), (b) a strain comprising a 16S-rRNA sequence comprising nucleic acid sequence of SEQ ID NO: 50, and (c) a strain comprising at least one genomic marker comprising nucleic acid sequence of SEQ ID NOs: 166-170, (xi) strain LAV1000731, chosen from (a) a strain (NCIMB 43906), (b) a strain comprising a 16S-rRNA sequence comprising nucleic acid sequence of SEQ ID NO:48, and (c) a strain comprising at least one genomic marker comprising nucleic acid sequence of SEQ ID NOs: 159-163, (xii) strain LAV104934, chosen from (a) a strain (NCIMB 43902), (b) a strain comprising a 16S-rRNA sequence comprising nucleic acid sequence of SEQ ID NO: 40, and (c) a strain comprising at least one genomic marker comprising nucleic acid sequence of SEQ ID NOs: 137-139, (xiii) strain LAV104944, chosen from (a) a strain (NCIMB 43907), (b) a strain comprising a 16S-rRNA sequence comprising nucleic acid sequence of SEQ ID NO: 45, and (c) a strain comprising at least one genomic marker comprising nucleic acid sequence of SEQ ID NOs: 140-143, (xiv) strain LAV104753, chosen from (a) a strain comprising a 16S- rRNA sequence comprising nucleic acid sequence of SEQ ID NO: 30, and (b) a strain comprising at least one genomic marker comprising nucleic acid sequence of SEQ ID NOs: 119-122, (xv) strain LAV106564, chosen from (a) a strain comprising a 16S-rRNA sequence comprising nucleic acid sequence of SEQ ID NO: 41 and SEQ ID NO:42, and (b) a strain comprising at least one genomic marker comprising nucleic acid sequence of SEQ ID NOs: 146-148, (xvi) strain LAV100189, chosen from (a) a strain comprising a 16S-rRNA sequence comprising nucleic acid sequence of SEQ ID NO: 20, and (b) a strain comprising at least one genomic marker comprising nucleic acid sequence of SEQ ID NOs: 100-103, and (xvii) strain LAV1000686, chosen from (a) a strain comprising a 16S-rRNA sequence comprising nucleic acid sequence of SEQ ID NO: 47, and (b) a strain comprising at least one genomic marker comprising nucleic acid sequence of SEQ ID NOs: 156-158. Sequences not defined here may be found at ftp://ftp.wipo.int/pub/publishedp cts equences/publication. INDEPENDENT CLAIMS are included for the following: 
      a bacterial formulation comprising several bacteria of isolated bacterial strain or their functional homolog; 
      a lysate comprising bacterial cell of the isolated bacterial strain or their functional homolog;
      an extract of bacterial cell of the isolated bacterial strain or their functional homolog;
      a whole cell broth collected from fermentation of several bacterial cells of the isolated bacterial strain or their functional homolog; 
      an agricultural composition comprising the isolated bacterial strain, the bacterial formulation, the lysate, the extract or the whole cell broth, and diluent or carrier;
      a seed coated with the agricultural composition; 
      a container adapted for a watering system of a plant field comprising the agricultural composition;
      a kit containing the agricultural composition; and 
      a method for e.g. protecting a plant from insect or mite pest. 
   ACTIVITY - Plant Protectant. Test details are described but no results given.
   MECHANISM OF ACTION - None given.
   USE - The isolated bacterial strain or its functional homolog is useful in bacterial formulation, agricultural composition or kit for (i) protecting plant from insect or mite pest, (ii) inhibiting or preventing growth or development of insect or mite pest present in or on plant or its part, (iii) killing plant insect and/or mite pest, and (iv) reducing impact of the harmful effects of insect or mite pest. The insect is of order chosen from Lepidoptera, Coleoptera, or Hemiptera. The insect includes Spodoptera frugiperda , Lygus hesperus , Plutella xylostella , or Chrysodeixis includens . The mite is of order Acari. The mite is Tetranychus urticae (all claimed).
   ADVANTAGE - The isolated bacterial strain or its functional homolog enhances resistance of plants towards broad spectrum of insect and/or mite pests, and has increased stability."
